id;name;year_from;year_to;country
1;Abarth;2008;2025;Италия
2;AC;1965;2025;Великобритания
3;Acura;1986;2025;Япония
4;Adam;2005;2006;Пакистан
5;Adler;1934;1941;Германия
6;GAC Aion;2019;2025;Китай
7;Aito;2022;2025;Китай
8;Aiways;2019;2023;Китай
9;Aixam;2000;2004;Франция
10;Alfa Romeo;1927;2025;Италия
11;Alpina;1978;2025;Германия
12;Alpine;1961;2025;Франция
13;Амберавто;2023;2025;Россия
14;Ambertruck;2024;2025;Россия
15;AMC;1961;1987;Северная Америка
16;AM General;1984;2006;США
17;Apal;2018;2020;Россия
18;Arcfox;2020;2025;Китай
19;Ariel;1996;2025;Великобритания
20;Aro;1972;2006;Румыния
21;Asia;1987;2003;Южная Корея
22;Aston Martin;1963;2025;Великобритания
23;Атом;2025;2025;Россия
24;Auburn;1935;1937;США
25;Audi;1927;2025;Германия
26;Aurus;2021;2025;Россия
27;Austin;1958;1997;Великобритания
28;Austin Healey;1956;1967;Великобритания
29;Autobianchi;1969;1986;Италия
30;Auto Union;1958;1965;Германия
31;Avatr;2022;2025;Китай
32;Автокам;1990;1999;Россия
33;BAIC;1964;2025;Китай
34;Bajaj;2016;2025;Индия
35;Baltijas Dzips;1998;2001;Латвия
36;Baojun;2017;2025;Китай
37;Batmobile;1989;2018;США
38;BAW;2020;2025;Китай
39;Belgee;2023;2025;Беларусь
40;Bentley;1946;2025;Великобритания
41;Bertone;1989;1995;Италия
42;Bestune;2020;2025;Китай
43;Bilenkin;2015;2016;Россия
44;Bio Auto;2009;2020;Китай
45;Bitter;1973;1988;Германия
46;Blaval;2021;2023;Китай
47;BMW;1927;2025;Германия
48;Borgward;1934;2021;Германия
49;Brabus;1991;2025;Германия
50;Brilliance;2004;2020;Китай
51;Bristol;1993;2011;Великобритания
52;Bufori;2004;2025;Малайзия
53;Bugatti;1932;2025;Франция
54;Buick;1936;2025;США
55;BYD;2005;2025;Китай
56;Byvin;2011;2016;Китай
57;Cadillac;1909;2025;США
