id;name;year_from;year_to
1;124 Spider;2016;2020
2;500;2008;2025
3;600e;2024;2025
4;378 GT Zagato;2012;2012
5;Ace;1992;2000
6;Aceca;1998;2000
7;Cobra;1965;2015
8;Cobra GT;2023;2025
9;ADX;2024;2025
10;CDX;2016;2021
11;CL;1996;2003
12;CSX;2005;2011
13;EL;1997;2005
14;ILX;2012;2022
15;Integra;1986;2025
16;Legend;1986;1996
17;MDX;2000;2025
18;NSX;1990;2022
19;RDX;2006;2025
20;RL;1995;2012
21;RLX;2013;2020
22;RSX;2001;2006
23;SLX;1995;1999
24;TL;1995;2014
25;TLX;2014;2025
26;TSX;2003;2014
27;ZDX;2009;2013
28;Revo;2005;2006
29;Diplomat;1934;1940
30;Trumpf Junior;1934;1941
31;Hyptec GT (Hyper GT);2023;2025
32;Hyptec HT (Hyper HT);2023;2025
33;Hyptec SSR (Hyper SSR);2023;2025
34;Hyptec HL;2025;2025
35;LX;2019;2022
36;LX Plus;2022;2025
37;RT;2024;2025
38;S;2019;2025
39;S Plus;2021;2023
40;UT;2025;2025
41;V;2020;2025
42;Y;2021;2022
43;Y Plus;2022;2025
44;M5;2022;2025
45;M7;2022;2025
46;M8;2025;2025
47;M9;2023;2025
48;U5;2019;2023
49;U6;2021;2023
50;500;2000;2004
51;105/115;1965;1977
52;145;1994;2001
53;146;1995;2001
54;147;2000;2010
55;155;1992;1997
56;156;1997;2007
57;159;2005;2011
58;164;1987;1998
59;166;1998;2007
60;1900;1950;1959
61;2600;1962;1968
62;33;1983;1994
63;33 Stradale;2023;2025
64;4C;2013;2016
65;6;1979;1988
66;6C;1927;1933
67;75;1985;1992
68;8C Competizione;2007;2010
69;90;1984;1987
70;Alfasud;1971;1983
71;Alfetta;1972;1987
72;Arna;1983;1987
73;Brera;2005;2010
74;Disco Volante;2013;2013
75;Giulia;1962;2025
76;Giulietta;1954;2020
77;GT;2003;2010
78;GTA Coupe;1965;1975
79;GTV;1995;2006
80;Junior;2024;2025
81;MiTo;2008;2018
82;Montreal;1970;1979
83;RZ;1992;1994
84;Spider;1966;2010
85;Sprint;1983;1989
86;Stelvio;2016;2025
87;SZ;1989;1991
88;Tonale;2022;2025
89;B10;1984;2004
90;B11;1987;1994
91;B12;1988;2001
92;B3;1987;2025
93;B4;2013;2025
94;B5;2005;2025
95;B6;1978;2017
96;B7;1978;2022
97;B8;1979;2025
98;B9;1981;1985
99;C1;1980;1987
100;C2;1985;1987
101;D10;1999;2003
102;D3;2005;2025
103;D4;2014;2025
104;D5;2011;2025
105;Roadster;1990;2005
106;XB7;2020;2025
107;XD3;2012;2025
